popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_10-19 km,0.4634146341463415,0.34146341463414637,0.36585365853658536,0.43902439024390244,0.36585365853658536,0.0975609756097561,0.36585365853658536,0.2926829268292683,0.0975609756097561,0.4146341463414634,0.4146341463414634,0.12195121951219512,0.0,0.4634146341463415,0.3902439024390244,0.24390243902439024,0.5853658536585366,0.3170731707317073,0.14634146341463414,0.2682926829268293,0.2682926829268293,0.12195121951219512,0.34146341463414637,0.36585365853658536,0.12195121951219512,0.12195121951219512,0.07317073170731707,0.3170731707317073,0.36585365853658536,0.4146341463414634,0.24390243902439024,0.4878048780487805,0.36585365853658536,0.24390243902439024,0.21951219512195122,0.36585365853658536,0.04878048780487805,0.36585365853658536,0.21951219512195122,0.21951219512195122,0.4146341463414634,0.04878048780487805,0.47560975609756095,0.5609756097560976,0.6375,0.5384615384615384,0.61875,0.5208333333333334,0.39375000000000004,0.53125,0.5487804878048781,0.6890243902439024,0.46153846153846156,0.4423076923076923,0.43125,0.3902439024390244,0.5670731707317073,0.39375000000000004,0.42361111111111116,0.5426829268292683,0.4207317073170732,0.6,0.4932432432432432,0.45945945945945943,0.4214285714285714,0.38125,0.4024390243902439,0.41463414634146345
18 t/m 24_20-29 km,0.2916666666666667,0.375,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.375,0.2916666666666667,0.125,0.0,0.2916666666666667,0.25,0.125,0.375,0.375,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.2916666666666667,0.125,0.08333333333333333,0.0,0.125,0.2916666666666667,0.25,0.2916666666666667,0.20833333333333334,0.4166666666666667,0.5,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.125,0.20833333333333334,0.20833333333333334,0.125,0.3333333333333333,0.0,0.40217391304347827,0.5208333333333334,0.5978260869565217,0.44999999999999996,0.6304347826086957,0.5227272727272727,0.2954545454545454,0.42391304347826086,0.33333333333333337,0.4782608695652174,0.4565217391304348,0.5,0.4375,0.3804347826086957,0.48913043478260865,0.4347826086956522,0.375,0.5681818181818182,0.42391304347826086,0.5978260869565217,0.5,0.4078947368421053,0.35,0.3804347826086957,0.39583333333333337,0.42708333333333337
18 t/m 24_30-49 km,0.3333333333333333,0.23809523809523808,0.3333333333333333,0.6190476190476191,0.09523809523809523,0.19047619047619047,0.38095238095238093,0.38095238095238093,0.19047619047619047,0.38095238095238093,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.47619047619047616,0.47619047619047616,0.2857142857142857,0.5238095238095238,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.23809523809523808,0.38095238095238093,0.23809523809523808,0.047619047619047616,0.14285714285714285,0.0,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.19047619047619047,0.6666666666666666,0.47619047619047616,0.38095238095238093,0.19047619047619047,0.42857142857142855,0.047619047619047616,0.47619047619047616,0.3333333333333333,0.23809523809523808,0.42857142857142855,0.047619047619047616,0.4642857142857143,0.6190476190476191,0.55,0.6052631578947368,0.5526315789473685,0.5789473684210527,0.4375,0.3928571428571429,0.5595238095238095,0.5595238095238095,0.5263157894736842,0.47619047619047616,0.45833333333333337,0.34523809523809523,0.4285714285714286,0.3571428571428571,0.34523809523809523,0.5476190476190477,0.36904761904761907,0.48611111111111116,0.48684210526315785,0.5375,0.44999999999999996,0.5125,0.47619047619047616,0.5238095238095238
18 t/m 24_Less than 10 km,0.3291139240506329,0.34177215189873417,0.25316455696202533,0.5063291139240507,0.3670886075949367,0.1518987341772152,0.3670886075949367,0.25316455696202533,0.0759493670886076,0.35443037974683544,0.27848101265822783,0.08860759493670886,0.012658227848101266,0.35443037974683544,0.2911392405063291,0.17721518987341772,0.569620253164557,0.35443037974683544,0.16455696202531644,0.31645569620253167,0.17721518987341772,0.05063291139240506,0.26582278481012656,0.20253164556962025,0.0379746835443038,0.06329113924050633,0.06329113924050633,0.3670886075949367,0.6329113924050633,0.3670886075949367,0.13924050632911392,0.34177215189873417,0.4177215189873418,0.2911392405063291,0.189873417721519,0.35443037974683544,0.0759493670886076,0.3291139240506329,0.17721518987341772,0.1518987341772152,0.3291139240506329,0.012658227848101266,0.5445205479452054,0.722972972972973,0.7007575757575758,0.6538461538461539,0.6690140845070423,0.61328125,0.4642857142857143,0.5183823529411765,0.6575342465753424,0.7107142857142857,0.5737704918032787,0.5120967741935484,0.5,0.40625,0.6830985915492958,0.46641791044776115,0.48305084745762716,0.59765625,0.3515625,0.6052631578947368,0.5482456140350878,0.49090909090909096,0.4409090909090909,0.45238095238095233,0.5158227848101266,0.370253164556962
18 t/m 24_more than 50,0.1875,0.125,0.25,0.3125,0.3125,0.25,0.125,0.3125,0.1875,0.125,0.3125,0.125,0.0625,0.1875,0.25,0.125,0.375,0.4375,0.1875,0.125,0.3125,0.0625,0.25,0.4375,0.0,0.0,0.0,0.125,0.25,0.1875,0.3125,0.4375,0.25,0.1875,0.25,0.3125,0.0625,0.0625,0.1875,0.125,0.3125,0.0,0.578125,0.4,0.55,0.40625,0.421875,0.453125,0.375,0.40625,0.375,0.34375,0.3125,0.421875,0.421875,0.296875,0.421875,0.46875,0.546875,0.3833333333333333,0.35,0.4375,0.515625,0.359375,0.296875,0.3125,0.390625,0.40625
25 t/m 34_10-19 km,0.2765957446808511,0.2978723404255319,0.40425531914893614,0.3829787234042553,0.2553191489361702,0.1276595744680851,0.44680851063829785,0.3617021276595745,0.06382978723404255,0.44680851063829785,0.40425531914893614,0.02127659574468085,0.0,0.3191489361702128,0.3404255319148936,0.2553191489361702,0.5957446808510638,0.19148936170212766,0.19148936170212766,0.2127659574468085,0.1276595744680851,0.0,0.3617021276595745,0.1702127659574468,0.0,0.02127659574468085,0.06382978723404255,0.48936170212765956,0.3829787234042553,0.425531914893617,0.1276595744680851,0.3191489361702128,0.6382978723404256,0.2978723404255319,0.0851063829787234,0.2978723404255319,0.10638297872340426,0.3829787234042553,0.1276595744680851,0.19148936170212766,0.48936170212765956,0.02127659574468085,0.5444444444444444,0.625,0.6219512195121951,0.5182926829268293,0.6818181818181818,0.5897435897435898,0.375,0.5163043478260869,0.5277777777777778,0.6630434782608695,0.44047619047619047,0.4222222222222223,0.4390243902439024,0.3833333333333333,0.5652173913043478,0.42613636363636365,0.47159090909090906,0.5872093023255814,0.40555555555555556,0.59375,0.5833333333333334,0.5263157894736842,0.426829268292683,0.4294871794871795,0.4042553191489362,0.40957446808510634
25 t/m 34_20-29 km,0.29411764705882354,0.29411764705882354,0.2647058823529412,0.4411764705882353,0.38235294117647056,0.058823529411764705,0.4411764705882353,0.29411764705882354,0.14705882352941177,0.29411764705882354,0.29411764705882354,0.08823529411764706,0.0,0.35294117647058826,0.38235294117647056,0.14705882352941177,0.6176470588235294,0.23529411764705882,0.11764705882352941,0.2647058823529412,0.14705882352941177,0.029411764705882353,0.23529411764705882,0.38235294117647056,0.029411764705882353,0.0,0.058823529411764705,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.14705882352941177,0.4117647058823529,0.3235294117647059,0.20588235294117646,0.17647058823529413,0.2647058823529412,0.20588235294117646,0.14705882352941177,0.23529411764705882,0.11764705882352941,0.2647058823529412,0.029411764705882353,0.4852941176470589,0.5882352941176471,0.6666666666666666,0.59375,0.6590909090909091,0.65,0.3897058823529411,0.5220588235294118,0.5882352941176471,0.6287878787878788,0.5220588235294118,0.44852941176470584,0.46875,0.48484848484848486,0.625,0.5378787878787878,0.4838709677419355,0.553030303030303,0.43181818181818177,0.6015625,0.6212121212121212,0.5806451612903226,0.453125,0.5,0.4411764705882353,0.3897058823529411
25 t/m 34_30-49 km,0.37142857142857144,0.3142857142857143,0.17142857142857143,0.2857142857142857,0.11428571428571428,0.14285714285714285,0.3142857142857143,0.2,0.05714285714285714,0.42857142857142855,0.17142857142857143,0.11428571428571428,0.0,0.37142857142857144,0.34285714285714286,0.2857142857142857,0.5142857142857142,0.14285714285714285,0.2,0.2,0.14285714285714285,0.08571428571428572,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.22857142857142856,0.3142857142857143,0.2571428571428571,0.14285714285714285,0.4,0.34285714285714286,0.22857142857142856,0.14285714285714285,0.3142857142857143,0.14285714285714285,0.17142857142857143,0.11428571428571428,0.17142857142857143,0.2857142857142857,0.02857142857142857,0.4852941176470589,0.5075757575757576,0.6333333333333333,0.5,0.6290322580645161,0.5666666666666667,0.3203125,0.532258064516129,0.4453125,0.5,0.3793103448275862,0.44166666666666665,0.3709677419354839,0.3916666666666667,0.4545454545454546,0.3879310344827587,0.4051724137931034,0.467741935483871,0.4032258064516129,0.5357142857142857,0.5,0.4629629629629629,0.38888888888888884,0.3793103448275862,0.34285714285714286,0.3571428571428571
25 t/m 34_Less than 10 km,0.3917525773195876,0.32989690721649484,0.24742268041237114,0.6082474226804123,0.35051546391752575,0.1134020618556701,0.5360824742268041,0.1958762886597938,0.05154639175257732,0.41237113402061853,0.28865979381443296,0.030927835051546393,0.020618556701030927,0.4845360824742268,0.27835051546391754,0.09278350515463918,0.5773195876288659,0.25773195876288657,0.12371134020618557,0.30927835051546393,0.13402061855670103,0.05154639175257732,0.3402061855670103,0.20618556701030927,0.05154639175257732,0.041237113402061855,0.12371134020618557,0.4742268041237113,0.4639175257731959,0.25773195876288657,0.08247422680412371,0.41237113402061853,0.5154639175257731,0.27835051546391754,0.18556701030927836,0.29896907216494845,0.041237113402061855,0.35051546391752575,0.15463917525773196,0.1958762886597938,0.4329896907216495,0.020618556701030927,0.5222222222222223,0.6223404255319149,0.6445783132530121,0.5633802816901409,0.6761363636363636,0.5269230769230769,0.32894736842105265,0.5120481927710844,0.6583333333333333,0.6831395348837209,0.5433333333333333,0.4847560975609756,0.45945945945945943,0.37222222222222223,0.6055555555555555,0.3972602739726028,0.3653846153846154,0.541095890410959,0.30000000000000004,0.5942028985507246,0.46478873239436624,0.48360655737704916,0.34328358208955223,0.36,0.4871134020618557,0.35567010309278346
25 t/m 34_more than 50,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.29411764705882354,0.4117647058823529,0.11764705882352941,0.0,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.0,0.11764705882352941,0.11764705882352941,0.5294117647058824,0.17647058823529413,0.47058823529411764,0.23529411764705882,0.5294117647058824,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.40625,0.4558823529411765,0.640625,0.6617647058823529,0.6911764705882353,0.55,0.4558823529411765,0.42647058823529416,0.5882352941176471,0.6911764705882353,0.5294117647058824,0.46875,0.42647058823529416,0.4558823529411765,0.5441176470588235,0.4375,0.47058823529411764,0.4852941176470589,0.42647058823529416,0.6875,0.6029411764705882,0.578125,0.4833333333333333,0.5,0.5147058823529411,0.4117647058823529
